name,a,diameter,moid
,1.930840948223490,0.986,0.0169952
,1.114104281619600,0.251,0.0170595
,1.612979017021040,0.149,0.0173931
,2.897100353871340,0.228,0.0176283
,1.000241452402210,0.228,0.0176903
,1.486458823686360,0.890,0.0179715
,1.542051491591430,1.060,0.0181167
,2.68318077752195,1.851,0.0182441
,1.756874447281400,0.039,0.0184924
,1.352697503986810,0.019,0.0186057
,1.190950459525280,0.414,0.0188261
,0.9237294055254270,0.028,0.0188877
,1.659480176056980,0.105,0.018897
,1.073312188532080,0.152,0.0189406
,0.8113223174597720,0.407,0.019032
Lugh,2.551801369977610,1.4,0.0190812
,1.54506219565596,0.451,0.0190931
,0.9780357419183380,0.239,0.0193071
Vishnu,1.059509941130630,0.42,0.0193934
Phaethon,1.271372810531090,6.25,0.0195545
,0.9540626023971930,0.595,0.0195582
,1.065840482084180,0.774,0.0198446
Castalia,1.063164596280570,1.4,0.0201909
,1.039065132184740,0.423,0.020229
,2.741005863114360,0.234,0.0202553
,1.02976147245209,0.674,0.020598
Dionysus,2.19861623099639,1.5,0.0206197
,1.814811757681330,0.859,0.0206905
,2.233986300156250,0.032,0.0207642
,1.587903977695300,0.152,0.0210724
Zephyr,1.961954177489840,2.060,0.021265
,1.77051354016078,1.8,0.0216335
,1.988603407620950,0.208,0.0216364
,1.011701047033830,0.380,0.0217391
,0.7466790621197330,0.113,0.0219748
,1.506377944198320,1.568,0.0220273
,1.122893540915190,1.602,0.022164
Agni,0.8643510596535270,0.462,0.0222135
,2.243056168860560,1.0,0.0222228
,0.8887168893357900,0.213,0.0222392
,2.233570778849400,1.316,0.0224886
,1.144725170384990,0.066,0.0226177
,2.910258417332730,1.457,0.0227379
,0.6618373107267540,0.754,0.0228565
,1.637098683042890,0.039,0.0229496
,1.759457493226100,2.22,0.0246205
,2.725979376406260,7,0.0247197
,0.8203047596913780,0.260,0.0249494
,2.231146192730380,0.208,0.0250061
,2.8500309609801,0.340,0.0251522
,1.706732681383390,1.182,0.0255187
,1.168601604025540,0.236,0.0255248
,1.162147716325450,0.531,0.0256529
Apollo,1.47004510545699,1.5,0.0259212
,1.347154589863640,0.566,0.0260655
,1.46578421436278,0.122,0.0261137
,1.452897251117180,1.244,0.0261373
,2.677356461369530,0.402,0.0262161
,1.13745325128899,0.908,0.026301
,2.593234000694430,1.647,0.0263483
,1.229171072344810,0.386,0.026678
,1.147666350551830,0.379,0.0268315
,1.453014503690310,0.202,0.0271831
,1.249854929222240,0.321,0.0275302
,1.483706326506970,0.060,0.0279447
,2.410800673628260,0.063,0.02802
,1.07040932916412,0.034,0.0280404
Golevka,2.502473955538530,0.53,0.0280499
,2.036630050765200,1.554,0.0281039
,0.9560631225560960,0.040,0.0281958
,1.053846743177250,1.196,0.0283416
Cuno,1.982718742997250,2.945,0.0284265
,1.541615161239800,1.663,0.0286685
,2.077926675043710,5.067,0.0287461
